order,section_name,task_label,task_name,start_date,end_date,is_milestone,is_deliverable,notes
4,Data discovery user,api_data_catalogue,API base structure for the data catalogue,after mvp_data_upload,8w,1,,
4,Data discovery user,backend_data_dictionary,Backend structure for storing the data dictionary,after api_data_catalogue,8w,1,,
4,Data discovery user,frontend_data_catalogue,Frontend UI for showing data catalogue,after backend_data_dictionary,8w,1,,
4,Data discovery user,mvp_data_catalogue,MVP of data catalogue,after frontend_data_catalogue,2w,,1,
4,Data discovery user,api_data_request,API base structure for the data selection and request,after api_data_catalogue api_projects,12w,1,,
4,Data discovery user,backend_trigger_data_request_extraction,Backend software for extracting requested data,after api_data_request,12w,1,,
4,Data discovery user,backend_trigger_data_request_transfer,Backend software for transferring data,after backend_trigger_data_request_extraction,16w,1,,
4,Data discovery user,frontend_data_request,Frontend UI for selecting and requesting data,after backend_trigger_data_request_extraction,8w,1,,
4,Data discovery user,mvp_data_request,MVP of data request and transfer,after frontend_data_request,8w,,1,
4,Data discovery user,api_projects,API base structure for projects listings,after api_data_catalogue,8w,1,,
4,Data discovery user,backend_projects,Backend structure for storing project info,after api_projects,8w,1,,
4,Data discovery user,frontend_projects_request_form,Frontend UI for submitting data access request,after backend_projects,8w,1,,
4,Data discovery user,mvp_projects,MVP of projects listings,after backend_projects,2w,,1,
,,,,,,,,
2,Data entry user,api_data_upload,API for CRUD processes on database and files,after docs_sw_arch,18w,1,,
2,Data entry user,api_trigger_data_cleaning,API trigger for cleaning and processing software,after api_routine_data_upload,10w,1,,
2,Data entry user,api_trigger_update_changelog,Pipeline trigger to updating the changelog and data version,after api_data_upload api_trigger_data_cleaning,8w,1,,
2,Data entry user,backend_changelog,Backend structure for storing the changelog info,after api_trigger_update_changelog,4w,1,,
2,Data entry user,backend_database,Backend formal structure for storing the final database,after api_trigger_data_cleaning,16w,1,,
2,Data entry user,backend_dvc,Backend version control structure for data,after backend_changelog backend_database,16w,1,,
2,Data entry user,frontend_data_upload,Frontend UI for uploading routine or new data,after backend_database,12w,1,,
2,Data entry user,mvp_data_upload,MVP of data upload,after frontend_data_upload,2w,,1,
,,,,,,,,
5,Public user,api_trigger_format_projects,API trigger for formatting projects into listing,after mvp_data_upload,8w,1,,
5,Public user,api_trigger_format_projects_results,API trigger for formatting project results into listing,after api_trigger_format_projects,8w,1,,
5,Public user,api_trigger_format_changelog,API trigger for formatting changelog into listing,after backend_changelog api_trigger_format_projects,8w,1,,
5,Public user,api_trigger_format_statistics,API trigger for formatting aggregate statistics into listing/images,after backend_database api_trigger_format_projects,8w,1,,
5,Public user,backend_trigger_aggregate_statistics,Backend trigger for generating aggregrate statistics,after api_trigger_format_statistics,10w,1,,
5,Public user,frontend_projects,Frontend UI for list of projects,after api_trigger_format_projects,4w,1,,
5,Public user,frontend_changelog,Frontend UI for listing changelog,after api_trigger_format_changelog,4w,1,,
5,Public user,frontend_statistics,Frontend UI for showing aggregate statistic results and images,after api_trigger_format_statistics,4w,1,,
5,Public user,mvp_projects_list,MVP for listing of projects,after frontend_projects,8w,,1,
5,Public user,mvp_changelog_list,MVP for listing of changelog,after frontend_changelog,8w,,1,
5,Public user,mvp_statistics_list,MVP for listing of aggregate statistics,after frontend_statistics,8w,,1,
,,,,,,,,
3,Admin user,api_auth_users,API to authenticate users,after docs_sw_arch,6w,,,
3,Admin user,api_register_users,API to register (CRUD) users,after docs_sw_arch,6w,,,
3,Admin user,api_researchers_list,API base structure for list of researchers,after pre_hire_staff,8w,1,,
3,Admin user,backend_researchers_list,Backend structure for storing researcher info,after api_register_users,8w,1,,
3,Admin user,api_trigger_authorization_projects,API trigger for approving projects for data transfer,after backend_projects,12w,1,,
3,Admin user,api_trigger_authorization_researchers,API trigger for approving authorization for researchers,after backend_researchers_list,12w,1,,
3,Admin user,frontend_admin_projects_list,Frontend UI for listing projects for admin,after mvp_projects,8w,1,,
3,Admin user,frontend_admin_researchers_list,Frontend UI for listing researchers for admin,after backend_researchers_list,8w,1,,
,,,,,,,,
1,General,pre_hire_staff,Searching for and hiring skilled personnel,2022-01-01,32w,1,,
1,General,continuous_testing,Continual testing of software and assessing security,after docs_sw_arch,156w,,,
,,,,,,,,
7,Training,docs_deploy_framework,Training docs on deploying the Seedcase,after mvp_data_upload,156w,,,"These could be deliverables, but for visual, I will not have them be for now."
7,Training,docs_use_framework,Training docs on using the deployed Seedcase,after mvp_data_upload,156w,,,"These could be deliverables, but for visual, I will not have them be for now."
7,Training,docs_customize_framework,Training docs on customizing the Seedcase,after mvp_data_upload,156w,,,"These could be deliverables, but for visual, I will not have them be for now."
,,,,,,,,
1.5,Documentation,docs_contributing,Documentation on maintaining and contributing to Seedcase,after pre_hire_staff,156w,,,"These could be deliverables, but for visual, I will not have them be for now."
1.5,Documentation,docs_usage,Usage docs for each individual component,after docs_sw_arch,156w,,,"These could be deliverables, but for visual, I will not have them be for now."
1.5,Documentation,docs_sw_arch,Design documentation on software architecture,after pre_hire_staff,42w,,,
1.5,Documentation,docs_data_arch,Design documentation on data architecture,after docs_sw_arch,32w,,,
1.5,Documentation,docs_review,Design documents sent for review,after docs_sw_arch,32w,,,
,,,,,,,,
6,Apply to DD2,dd2_survey_all_files,Determine location of all DD2 data and plan to link them,after mvp_data_upload,24w,1,,
6,Apply to DD2,dd2_survey_data_inputs,Determine how and where all data are input from,after mvp_data_upload,24w,1,,
6,Apply to DD2,dd2_restructure_to_cdm,Move existing DD2 data and restructure to the CDM,after dd2_survey_data_inputs,24w,,,
6,Apply to DD2,dd2_processing_software,Build DD2 data processing and linking software,after dd2_restructure_to_cdm,24w,1,,
6,Apply to DD2,dd2_implement_framework,Fully implemented in DD2,after dd2_processing_software,4w,,1,
8,Next steps,next_replic_addition,Replicating in ADDITION cohort,after dd2_implement_framework,24w,1,,
8,Next steps,continued_dev,"Continue refining, testing, checking Seedcase",after mvp_statistics_list,24w,,,
